luas_tanah;luas_bangunan;jml_kamar;umur;jarak;harga;;;;
5.886.974.198.946.380;2.654.278.009.723.210;3;23.880.222.072.818.400;9.907.007.729.629.020;200.00.00;;;;
9.684.886.189.305.820;31.161.496.870.596.800;1;22.612.022.112.840.100;1.440.707.253.101.060;200.00.00;;;;
4.099.622.384.179.350;8.922.650.493.319.200;4;6.465.022.766.026.530;18.521.646.632.974.400;24.634.084.847.250.000;;;;
13.034.509.792.445.000;20.077.626.553.532.200;2;10.080.211.769.703.200;36.978.909.276.896.000;3.449.863.108.308.220;;;;
3.437.357.485.333.430;3.345.269.933.602.450;4;13.970.476.252.868.300;6.780.595.412.716.710;200.00.00;;;;
15.718.225.147.102.600;12.127.117.987.300.000;2;2.320.143.143.346.740;3.645.690.047.288.080;200.00.00;;;;
9.474.862.674.170.530;2.987.908.345.918.110;1;27.448.975.952.339.000;12.628.162.069.229.600;200.00.00;;;;
15.942.748.594.975.400;3.969.696.819.992.640;4;5.674.173.000.689.530;6.819.718.940.863.210;5.673.657.752.612.010;;;;
3.750.201.193.350.460;6.669.589.684.726.980;4;27.671.024.540.103.000;7.196.049.197.738.890;200.00.00;;;;
43.506.341.064.782.800;17.855.289.686.867.600;1;2.086.873.957.062.170;23.474.032.302.716.000;3.505.963.866.089.120;;;;
4.235.989.390.551.460;326.026.258.418.689;4;1.832.312.192.055.110;7.646.125.174.344.240;7.653.351.853.699.500;;;;
22.873.258.832.830.400;10.549.318.481.269.200;2;5.995.238.138.458.180;1.738.743.364.063.010;200.00.00;;;;
3.506.383.114.567.900;23.538.143.124.184.500;4;16.657.509.842.745.100;5.428.383.425.925.860;5.625.660.924.121.710;;;;
14.224.293.293.711.900;30.123.637.953.097.900;3;17.053.946.955.238.100;14.208.561.857.991.200;200.00.00;;;;
18.191.647.861.745.500;2.579.146.165.962.660;5;19.545.470.499.866.700;12.962.938.553.833.200;42.961.445.004.921.600;;;;
4.533.511.183.345.030;9.956.915.180.770.390;2;63.234.434.806.406.400;1.740.620.755.901.310;200.00.00;;;;
55.850.865.579.831.200;1.614.922.904.137.230;3;1.669.368.617.476.360;35.134.710.053.697.200;200.00.00;;;;
8.847.883.888.451.060;320.002.960.259.597;1;25.694.802.082.877.200;1.957.420.924.655.580;2.023.031.631.486.650;;;;
1.435.488.148.157.120;23.506.381.022.884.600;2;250.519.783.636.506;12.069.944.274.766.900;200.00.00;;;;
6.193.949.174.321.880;31.934.957.010.877.700;5;27.820.655.417.588.900;1.991.400.889.458.940;200.00.00;;;;
1.316.459.457.904.080;3.115.665.812.103.940;5;10.976.574.286.706.400;18.318.779.791.451.100;264.135.803.114.412;;;;
3.123.687.024.363.610;4.306.520.132.788.840;1;954.148.717.652.756;520.882.817.014.901;200.00.00;;;;
23.964.104.776.662.400;3.059.214.996.105.550;1;2.248.278.017.942.420;20.670.781.881.629.400;34.670.527.847.207.000;;;;
4.517.022.699.846.380;10.491.780.726.113.700;2;12.933.372.152.910.100;5.857.142.782.111.860;2.880.000.119.514.590;;;;
4.178.496.027.822.980;38.448.718.764.417.000;4;2.626.459.920.833.410;11.023.709.330.988.900;7.972.953.507.795.060;;;;
20.381.780.826.404.400;16.613.807.798.177.100;1;8.484.033.920.114.990;42.603.309.742.386.000;200.00.00;;;;
1.667.405.450.440.810;15.096.469.804.508.900;4;12.557.468.565.944.600;4.181.735.145.841.780;3.131.531.486.760.220;;;;
2.208.615.836.752.700;8.508.857.862.300.450;3;877.549.276.428.756;9.789.277.394.997.900;2.906.993.404.600.210;;;;
3.156.327.241.316.630;1.430.735.597.313.790;5;9.966.167.128.419.640;163.209.145.221.781;4.305.433.643.661.610;;;;
1.706.286.383.702.940;3.543.607.818.764.340;4;8.813.277.185.231.720;33.158.735.681.131.300;6.655.247.333.961.040;;;;
33.086.700.853.211.000;3.986.437.049.220.810;5;12.449.750.154.923.800;8.901.365.448.751.000;8.355.228.809.093.680;;;;
23.423.524.348.605.800;1.662.745.262.875.330;4;19.112.841.024.733.200;21.994.682.749.513.600;2.021.661.752.732.250;;;;
2.984.212.313.833.910;19.598.593.345.318.000;3;1.791.877.261.060.400;8.538.346.072.655.050;200.00.00;;;;
24.625.693.811.089.200;2.971.662.471.350.120;1;1.960.150.495.436.040;10.006.119.053.020.400;200.00.00;;;;
18.250.959.179.386.200;3.578.924.387.720.770;3;5.769.296.881.008.820;9.574.065.667.389.170;5.335.226.782.011.500;;;;
4.768.039.881.329.700;24.942.640.364.911.000;1;8.869.636.248.374.550;17.514.322.290.658.600;37.939.500.470.224.200;;;;
39.362.260.737.189.200;17.486.450.832.579.600;1;1.858.847.780.834.760;11.071.186.645.982.900;4.102.578.998.967.560;;;;
11.305.092.909.490.300;1.826.700.811.139.900;5;17.988.827.053.797.600;9.891.628.787.082.820;25.699.047.382.974.400;;;;
4.408.105.891.540.600;28.737.871.420.381.800;3;15.189.909.280.628.000;8.803.475.662.441.650;6.550.765.107.767.730;;;;
26.934.403.921.228.100;31.190.757.533.583.100;4;10.512.397.500.305.900;1.653.484.418.778.520;200.00.00;;;;
45.254.850.210.234.100;25.924.805.486.014.100;3;273.879.301.432.407;1.800.607.547.599.680;200.00.00;;;;
40.993.486.517.629.100;16.153.241.386.330.200;5;10.193.107.268.965.300;17.211.606.914.745.200;3.748.541.354.320.560;;;;
24.134.607.701.115.500;32.385.301.257.252.100;1;13.668.574.693.117.500;13.797.384.984.496.400;30.280.029.878.726.300;;;;
60.111.188.744.052.800;644.065.367.345.589;5;20.343.414.928.626.200;36.098.731.734.048.100;200.00.00;;;;
17.090.481.172.322.500;24.763.483.877.090.400;2;16.290.642.926.002.900;6.260.529.420.348.230;4.329.644.014.156.640;;;;
29.373.539.659.739.000;2.079.599.692.578.650;2;10.406.579.290.931.500;18.751.982.099.575.700;5.942.141.144.170.520;;;;
3.350.651.989.217.660;2.676.604.445.849.340;4;13.069.343.713.695.200;18.685.657.424.812.100;200.00.00;;;;
16.604.945.844.494.100;5.399.582.995.869.820;5;23.834.424.535.605.100;13.555.172.064.127.200;200.00.00;;;;
11.271.023.333.277.000;24.459.400.134.840.800;4;8.343.874.664.598.370;15.180.894.801.951.500;200.00.00;;;;
4.257.186.065.596.840;23.774.929.754.502.300;4;4.267.657.193.304.460;691.986.305.206.235;7.165.331.664.150.390;;;;
49.298.098.131.659.800;23.744.423.493.398.300;2;9.394.896.054.893.310;17.067.416.923.269.500;4.911.590.209.015.020;;;;
28.656.058.203.620.800;25.329.043.664.068.800;4;2.548.602.646.463.700;5.932.462.390.461.090;33.676.711.598.134.300;;;;
12.725.567.863.173.600;280.293.136.773.754;2;26.696.914.456.903.900;1.031.231.385.136.540;5.120.543.995.884.010;;;;
17.253.829.693.371.600;3.278.459.298.818.840;1;29.750.882.201.173.500;8.151.884.287.893.180;200.00.00;;;;
5.827.580.444.636.000;12.983.366.644.743.900;5;16.230.086.967.829.800;11.844.468.138.222.300;200.00.00;;;;
4.614.344.629.522.240;335.268.281.766.623;4;2.954.537.231.901.280;10.095.392.301.344.900;47.112.385.969.517.800;;;;
1.029.879.873.005.630;21.435.460.243.747.700;2;28.169.892.662.579.300;17.379.446.708.955.300;200.00.00;;;;
30.943.241.398.141.400;5.851.156.327.970.250;3;13.584.411.426.327.500;3.002.700.433.167.170;200.00.00;;;;
1.733.248.493.092.420;51.663.843.820.272.300;4;5.954.732.238.160.470;11.522.645.372.040.700;200.00.00;;;;
29.938.010.113.210.700;1.536.681.779.175.420;1;4.946.543.296.954.150;1.074.660.764.659.720;30.777.031.311.095.600;;;;
3.431.391.747.583.380;320.411.881.531.243;1;7.199.680.916.098.720;6.346.466.661.271.090;29.849.368.121.762.600;;;;
42.338.381.166.824.000;2.918.419.458.541.380;3;21.303.979.216.936.100;166.223.341.389.632;3.511.633.839.671.510;;;;
14.288.957.229.227.100;32.178.753.692.879.000;2;8.188.499.841.944.630;1.530.412.446.176.190;2.857.254.570.484.760;;;;
54.948.122.896.316.200;22.138.955.088.339.500;4;1.024.275.808.812.890;14.924.324.559.304.700;200.00.00;;;;
11.159.853.353.096.300;1.928.736.292.435.310;2;13.463.364.119.838.400;17.647.657.087.121.500;200.00.00;;;;
45.500.838.883.164.700;8.455.743.488.132.500;1;2.739.698.041.264.360;14.732.907.411.808.900;200.00.00;;;;
44.325.053.490.313.100;15.143.131.883.544.500;2;5.681.802.536.545.380;5.404.984.542.579.800;5.164.723.455.792.190;;;;
3.188.358.959.766.380;19.058.716.548.433.300;1;0.15079657829409343;14.405.691.521.344.100;3.910.649.496.481.300;;;;
320.232.587.195.144;6.278.215.898.145.830;2;18.028.923.113.451.000;68.463.534.544.070.300;35.520.224.733.747.700;;;;
34.926.650.354.581.400;11.162.642.250.314.800;3;2.714.299.025.040.350;560.131.835.660.194;30.932.495.204.596.600;;;;
12.891.707.538.055.200;25.134.335.880.358.300;5;19.425.493.945.300.800;23.870.682.650.929.100;38.820.285.383.063.800;;;;
4.614.853.756.662.310;30.219.535.226.850.000;3;8.191.218.579.834.200;15.136.543.026.605.800;4.771.846.564.937.630;;;;
2.384.467.362.014.320;39.938.857.921.539.100;3;5.315.775.030.335.730;14.509.018.277.046.400;426.007.299.149.541;;;;
22.241.233.771.227.300;37.525.193.259.711.600;5;882.800.209.911.343;5.455.490.075.807.780;47.924.822.557.176.000;;;;
2.835.129.673.772.760;26.774.912.382.802.000;5;3.443.907.817.538.400;15.238.201.317.758.900;47.896.418.617.650.800;;;;
7.113.468.504.877.470;18.586.177.971.880.600;4;28.245.987.308.533.200;1.843.897.677.877.750;200.00.00;;;;
12.482.751.594.023.500;2.653.856.249.420.460;4;23.526.185.230.958.000;3.052.550.192.340.000;2.171.286.149.346.480;;;;
3.821.151.273.918.660;3.206.910.986.896.850;3;13.871.735.307.376.200;5.420.096.129.348.720;6.625.894.373.570.890;;;;
8.725.940.056.630.690;7.378.439.064.165.330;3;25.948.878.153.456.000;15.254.955.087.658.900;200.00.00;;;;
3.214.184.492.598.740;18.166.480.918.762.600;1;7.483.746.128.796.960;6.215.626.796.634.480;3.810.665.289.278.370;;;;
16.040.709.935.659.400;3.407.268.456.851.780;1;21.513.617.054.165.800;12.868.615.511.390.600;3.696.470.333.151.510;;;;
22.518.302.631.888.900;1.720.181.922.152.260;4;25.683.974.970.412.300;2.542.120.264.810.570;3.252.077.234.259.740;;;;
17.991.218.154.681.400;24.159.274.035.405.900;4;10.703.061.348.698.100;9.591.847.102.967.230;200.00.00;;;;
2.100.527.224.092.270;24.747.466.351.901.300;1;2.272.393.336.352.150;1.504.273.701.786.610;200.00.00;;;;
37.357.065.733.291.000;9.825.621.365.944.650;1;8.852.170.477.929.280;14.043.764.917.821.700;24.734.008.988.177.100;;;;
18.370.477.203.042.800;1.640.271.134.113.460;2;8.965.714.057.770.920;1.648.636.991.284.030;200.00.00;;;;
3.048.820.881.336.030;1.537.691.768.345.140;2;3.211.715.356.625.580;17.671.590.405.460.200;30.154.535.394.741.600;;;;
26.422.268.098.959.400;3.969.278.215.686.390;1;13.201.741.395.281.900;15.690.486.523.916.400;200.00.00;;;;
34.865.202.441.319.100;3.895.095.263.980.140;2;21.891.357.194.922.600;13.760.167.115.839.500;200.00.00;;;;
4.715.733.826.961.410;3.377.279.061.600.360;5;2.820.662.416.713.850;16.027.273.445.045.900;8.361.970.012.636.920;;;;
37.965.744.374.461.200;1.310.361.996.899.400;4;18.113.909.757.872.800;11.164.366.794.779.400;39.640.082.449.888.800;;;;
14.672.317.036.584.000;22.168.914.350.836.100;4;25.894.066.132.072.100;17.162.567.733.822.000;3.123.330.084.247.800;;;;
6.403.241.077.757.810;14.052.846.222.784.600;1;2.467.483.947.870.680;1.635.328.852.520.440;200.00.00;;;;
16.801.881.993.492.100;378.051.320.692.676;3;5.200.291.589.258.420;7.093.765.964.739.190;39.034.228.970.804.300;;;;
3.177.850.688.151.140;12.593.980.078.033.600;1;14.574.522.867.378.900;11.686.158.108.240.400;200.00.00;;;;
7.314.161.606.791.260;188.973.020.713.406;2;35.077.060.657.617.400;630.946.083.905.915;24.881.447.247.678.800;;;;
2.733.648.112.405.560;35.291.019.267.930.200;3;2.046.459.484.684.900;15.867.502.743.225.500;3.049.601.425.836.370;;;;
3.185.792.820.126.000;3.415.154.197.129.690;2;2.849.699.004.738.220;17.843.548.006.196.100;200.00.00;;;;
20.040.975.086.763.200;9.885.752.460.312.260;5;41.126.837.423.626.900;8.574.207.390.048.210;3.293.331.414.827.100;;;;
3.969.104.916.856.190;32.697.802.462.441.200;2;2.201.649.392.407.620;1.739.552.547.670.870;3.404.636.468.410.660;;;;
9.796.921.391.019.730;19.952.914.809.302.000;5;18.967.144.526.035.800;6.074.425.141.670.310;2.382.024.115.849.720;;;;
8.381.200.178.111.390;20.869.848.267.158.100;5;1.750.815.111.024.290;11.158.557.538.434.900;2.212.741.965.509.770;;;;
3.776.849.402.916.210;793.875.897.938.992;2;11.703.607.040.650.100;17.316.467.166.935.300;200.00.00;;;;
2.729.710.922.927.890;5.982.256.009.013.610;2;10.653.949.432.614.300;7.191.745.509.700.010;200.00.00;;;;
3.597.810.783.924.810;29.933.754.358.029.300;5;13.574.756.705.666.300;1.912.680.303.648.360;6.913.582.316.279.300;;;;
24.567.230.237.168.500;2.136.906.263.714.600;3;6.537.261.247.560.400;3.315.710.533.846.280;3.292.655.224.136.440;;;;
16.088.091.495.759.800;19.163.475.996.761.600;5;0.45530646860480695;13.472.263.247.466.100;4.233.582.425.838.570;;;;
4.185.960.429.533.890;2.999.180.446.013.860;4;17.442.513.167.460.600;1.817.857.169.898.560;5.852.636.353.778.740;;;;
40.973.714.553.604.000;3.132.397.726.267.100;5;3.175.597.076.337.260;23.043.246.568.095.700;7.407.575.253.297.080;;;;
36.261.341.188.449.200;8.879.602.203.766.080;3;2.619.058.182.089.140;19.845.894.723.002.300;200.00.00;;;;
1.724.653.117.534.830;25.578.330.530.672.700;4;15.694.290.620.914.900;19.076.540.377.603.000;200.00.00;;;;
31.560.380.009.108.900;8.008.101.044.274.360;1;20.990.697.271.761.200;36.033.972.906.900.900;200.00.00;;;;
21.243.825.362.301.200;3.080.087.818.307.460;1;12.325.712.755.214.800;1.121.410.788.815.870;28.154.097.685.244.000;;;;
9.121.193.299.698.530;2.730.734.078.188.410;3;1.681.739.427.003.140;4.513.485.651.875.740;200.00.00;;;;
46.279.110.895.800.900;3.839.474.098.008.790;5;28.279.775.308.998.900;9.134.948.287.572.270;6.491.966.808.812.810;;;;
11.156.838.391.353.200;55.514.466.051.875.800;2;24.820.211.887.101.200;21.670.774.559.368.200;3.259.149.054.959.380;;;;
4.776.068.092.193.610;511.102.468.259.641;3;7.618.133.157.710.880;5.254.567.168.135.200;200.00.00;;;;
25.070.259.783.108.000;13.440.921.763.648.400;4;2.339.964.980.731.630;7.902.183.131.579.090;200.00.00;;;;
